Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),FR susp (mm),FL susp (mm)
0,80,b6,44,0,0,4,44,41.948555,-114.71428571428572,64.53333333333333
0,60,b7,44,0,0,83,43,41.99856,-115.2642857142857,32.02222222222222
0,e0,d6,44,0,0,68,43,42.048562,-135.06428571428572,28.355555555555554
0,c0,c5,44,0,0,71,43,42.098567,-124.29999999999998,29.455555555555556
0,0,ac,44,0,0,98,43,42.148567,-108.11428571428571,37.15555555555556
0,e0,ab,44,0,0,6d,43,42.198571,-108.03571428571428,28.966666666666665
0,40,b6,44,0,0,75,43,42.248575,-114.55714285714285,29.944444444444443
0,e0,a3,44,0,0,a1,43,42.298578,-103.00714285714285,39.355555555555554
0,a0,a2,44,0,0,6d,43,42.348582,-102.22142857142858,28.966666666666665
0,0,b0,44,0,0,69,43,42.39859,-110.62857142857143,28.477777777777778
0,0,a0,44,0,80,83,43,42.448596,-100.57142857142857,32.144444444444446
0,60,ac,44,0,80,af,43,42.498595,-108.35,42.9
0,60,a4,44,0,0,cd,43,42.548596,-103.32142857142857,50.11111111111111
0,60,a1,44,0,0,d2,43,42.598599,-101.43571428571428,51.333333333333336
0,40,9a,44,0,40,20,44,42.648607,-96.95714285714286,78.34444444444445
0,60,9b,44,0,80,f,44,42.69861,-97.66428571428573,70.15555555555555
0,40,a0,44,0,0,d6,43,42.748614,-100.72857142857143,52.31111111111111
0,0,dc,44,0,0,eb,43,42.798614,-138.28571428571428,57.44444444444445
0,c0,ae,44,0,40,14,44,42.848619,-109.84285714285714,72.47777777777777
0,80,bc,44,0,0,e9,43,42.89862,-118.4857142857143,56.955555555555556
0,0,ca,44,0,0,fd,43,42.948628,-126.97142857142858,61.84444444444444
0,80,c5,44,0,0,c6,43,42.99863,-124.14285714285714,48.4
0,c0,cc,44,0,0,bc,43,43.04863,-128.7,45.955555555555556
0,60,cc,44,0,80,bf,43,43.098638,-128.46428571428572,46.81111111111111
0,20,cc,44,0,0,bc,43,43.148637,-128.30714285714285,45.955555555555556
0,40,c5,44,0,80,bf,43,43.198648,-123.9857142857143,46.81111111111111
0,40,c3,44,0,80,c0,43,43.248646,-122.72857142857143,47.05555555555555
0,c0,b3,44,0,80,c4,43,43.298649,-112.98571428571428,48.03333333333333
0,0,c6,44,0,80,c3,43,43.348655,-124.45714285714286,47.78888888888889
0,c0,d2,44,0,c0,d,44,46.498879,-132.47142857142856,69.3
0,40,ea,44,0,40,2c,44,46.548878,-147.24285714285713,84.21111111111111
0,40,d7,44,0,0,f5,43,46.598886,-135.3,59.888888888888886
0,80,d3,44,0,0,df,43,46.648888,-132.94285714285715,54.51111111111111
0,60,cc,44,0,80,c7,43,46.998907,-128.46428571428572,48.766666666666666
0,60,c8,44,0,0,3,44,47.048913,-125.95,64.04444444444444
0,0,ad,44,0,0,f6,43,47.098923,-108.74285714285713,60.13333333333333
0,0,bf,44,0,0,e1,43,47.148922,-120.05714285714285,55.0
0,60,c6,44,0,80,99,43,47.19893,-124.69285714285715,37.52222222222222
0,80,ad,44,0,0,6f,43,47.248933,-109.05714285714286,29.21111111111111
0,40,c8,44,0,0,79,43,47.29893,-125.87142857142858,30.433333333333334
0,c0,a0,44,0,0,1d,43,47.348939,-101.04285714285714,19.18888888888889
0,c0,9d,44,0,0,24,43,47.398941,-99.15714285714286,20.044444444444444
0,60,9f,44,0,0,30,43,47.448947,-100.17857142857143,21.511111111111113
0,60,99,44,0,0,fc,42,47.498948,-96.40714285714286,15.400000000000002
0,0,ae,44,0,0,2b,43,47.548953,-109.37142857142858,20.9
0,40,f2,44,0,0,27,43,47.598953,-152.27142857142857,20.41111111111111
0,40,c8,44,0,0,60,43,47.648959,-125.87142857142858,27.377777777777776
0,0,b6,44,0,0,31,43,47.698959,-114.4,21.633333333333333
0,80,b5,44,0,0,53,43,47.748965,-114.08571428571429,25.78888888888889
0,e0,b2,44,0,0,3d,43,47.798969,-112.4357142857143,23.099999999999998
0,a0,af,44,0,0,4f,43,47.848975,-110.39285714285714,25.3
0,80,b5,44,0,0,49,43,47.898981,-114.08571428571429,24.566666666666666
0,0,b8,44,0,0,3d,43,47.948985,-115.65714285714286,23.099999999999998
0,a0,a2,44,0,0,3a,43,47.998983,-102.22142857142858,22.733333333333334
0,a0,b0,44,0,0,fc,42,48.048985,-111.02142857142857,15.400000000000002
0,c0,ce,44,0,0,4b,43,48.098982,-129.95714285714286,24.811111111111114
0,e0,a0,44,0,0,27,43,48.148995,-101.12142857142857,20.41111111111111
0,c0,a4,44,0,0,42,43,48.198992,-103.55714285714285,23.711111111111112
0,60,9c,44,0,0,1c,43,48.248992,-98.29285714285714,19.066666666666666
0,c0,bb,44,0,0,4f,43,48.349003,-118.01428571428572,25.3
0,40,b1,44,0,0,1e,43,48.399006,-111.41428571428573,19.31111111111111
0,e0,bd,44,0,0,27,43,48.44901,-119.35,20.41111111111111
0,80,ea,44,0,0,7d,43,48.499013,-147.4,30.92222222222222
0,80,f9,44,0,0,96,43,48.999052,-156.82857142857142,36.666666666666664
0,40,fa,44,0,0,9e,43,49.049055,-157.29999999999998,38.62222222222222
0,40,fa,44,0,0,9f,43,49.24907,-157.29999999999998,38.86666666666667
0,c0,f4,44,0,80,d6,43,49.299076,-153.84285714285716,52.43333333333334
0,e0,d8,44,0,c0,10,44,49.399081,-136.32142857142858,70.76666666666667
0,40,e7,44,0,80,c2,43,49.449082,-145.35714285714286,47.544444444444444
0,80,f2,44,0,80,c3,43,49.599096,-152.42857142857142,47.78888888888889
0,a0,e3,44,0,80,f2,43,49.649095,-143.07857142857142,59.27777777777777
0,a0,ed,44,0,0,dc,43,49.749106,-149.36428571428573,53.77777777777778
0,c0,f4,44,0,80,e3,43,49.799111,-153.84285714285716,55.61111111111111
0,c0,f7,44,0,80,ce,43,49.899113,-155.72857142857143,50.47777777777778
0,c0,f6,44,0,0,e9,43,49.949118,-155.1,56.955555555555556
0,20,f8,44,0,80,e3,43,49.999125,-155.96428571428572,55.61111111111111
0,a0,e8,44,0,0,e6,43,50.04913,-146.22142857142856,56.222222222222214
0,a0,d1,44,0,40,e,44,50.099132,-131.76428571428573,69.54444444444445
0,40,e2,44,0,80,e5,43,50.149131,-142.21428571428572,56.1
0,c0,d5,44,0,0,c,44,50.19914,-134.35714285714286,68.44444444444444
0,a0,ec,44,0,80,bd,43,50.299141,-148.73571428571427,46.32222222222222
0,c0,f4,44,0,80,fc,43,50.349149,-153.84285714285716,61.72222222222222
0,60,fc,44,0,0,c8,43,50.399151,-158.6357142857143,48.888888888888886
0,e0,ef,44,0,80,ab,43,50.449156,-150.77857142857144,41.922222222222224
0,c0,eb,44,0,80,e1,43,50.499159,-148.18571428571428,55.12222222222222
0,e0,e4,44,0,0,e2,43,50.549161,-143.8642857142857,55.24444444444445
0,e0,e0,44,0,c0,33,44,50.599164,-141.35,87.87777777777778
0,0,f0,44,0,0,cf,43,50.649171,-150.85714285714286,50.6
0,e0,f8,44,0,80,49,44,50.69917,-156.43571428571428,98.5111111111111
0,c0,ed,44,0,40,59,44,50.749176,-149.44285714285715,106.21111111111111
0,40,f7,44,0,80,e4,43,50.799179,-155.4142857142857,55.855555555555554
0,60,ed,44,0,40,7,44,51.199209,-149.20714285714286,66.12222222222222
0,20,ef,44,0,0,ea,43,51.249212,-150.30714285714285,57.2
0,0,f2,44,0,80,c9,43,51.649241,-152.1142857142857,49.25555555555555
