Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Timestamp (s),steering (°),TI core temp (C)
c9,2a,bc,c1,0,f0,1d,46,40.3981,176.70715685581388,17.6367104
7a,e4,b6,c1,0,f0,1d,46,40.448106,176.6492757209303,17.6367104
15,bd,b0,c1,0,f0,1d,46,40.498109,176.58174625116283,17.6367104
78,11,a7,c1,0,f0,1d,46,40.548113,176.47562879999998,17.6367104
c4,a3,9b,c1,0,f0,1d,46,40.648119,176.35021819534882,17.6367104
f1,46,9e,c1,0,f0,1d,46,40.698122,176.379159683721,17.6367104
fc,27,9f,c1,0,f0,1d,46,40.748128,176.38880617674408,17.6367104
e6,65,9d,c1,0,f0,1d,46,40.798131,176.3695131906976,17.6367104
b8,c2,9a,c1,0,f0,1d,46,40.848134,176.34057153488368,17.6367104
15,bd,b0,c1,0,f0,1d,46,40.898139,176.58174625116283,17.6367104
cf,84,9c,c1,0,f0,1d,46,40.948145,176.3598646883721,17.6367104
8c,1f,98,c1,0,f0,1d,46,40.998147,176.31163021395355,17.6367104
53,9b,94,c1,0,f0,1d,46,41.048149,176.27304206511621,17.6367104
53,9b,94,c1,0,f0,1d,46,41.098152,176.27304206511621,17.6367104
75,5d,96,c1,0,f0,1d,46,41.148156,176.292337060465,17.6367104
8e,f2,a7,c1,0,f0,1d,46,41.198159,176.48527713488363,17.6367104
ee,73,8e,c1,0,f0,1d,46,41.248163,176.20551259534886,17.6367104
d8,b1,8c,c1,0,f0,1d,46,41.298168,176.18621960930227,17.6367104
e3,92,8d,c1,0,f0,1d,46,41.348171,176.19586610232557,17.6367104
26,f8,91,c1,0,f0,1d,46,41.398173,176.24410057674413,17.6367104
10,36,90,c1,0,f0,1d,46,41.448177,176.22480759069765,17.6367104
ee,73,8e,c1,0,f0,1d,46,41.498181,176.20551259534886,17.6367104
4,55,8f,c1,0,f0,1d,46,41.548186,176.2151609302325,17.6367104
8e,1f,e8,c1,0,f0,1d,46,41.598187,177.18950813023253,17.6367104
80,3e,97,c1,0,f0,1d,46,41.648196,176.3019835534884,17.6367104
20,9e,b1,c1,0,f0,1d,46,41.698197,176.591392744186,17.6367104
91,a6,b8,c1,0,f0,1d,46,41.748198,176.6685688744185,17.6367104
61,7c,e5,c1,0,f0,1d,46,41.798201,177.16056664186044,17.6367104
b0,d4,12,c2,0,f0,1d,46,41.848206,177.65815813953486,17.6367104
b2,d4,3a,c2,0,f0,1d,46,41.898206,178.0970972651163,17.6367104
d9,1d,5d,c2,0,f0,1d,46,41.948212,178.47333092093027,17.6367104
9f,c6,71,c2,0,f0,1d,46,41.998216,178.70003480930234,17.6367104
99,75,81,c2,0,f0,1d,46,42.04822,178.87213724651167,17.6367104
ae,b0,8a,c2,0,f0,1d,46,42.098223,178.9734310325581,17.6367104
3b,7b,93,c2,0,f0,1d,46,42.148224,179.06990115348844,17.6367104
ba,64,9b,c2,0,f0,1d,46,42.198227,179.15672427906975,17.6367104
89,67,a4,c2,0,f0,1d,46,42.248233,179.2556058976745,17.6367104
58,6a,ad,c2,0,f0,1d,46,42.298234,179.35448751627905,17.6367104
6e,a5,b6,c2,0,f0,1d,46,42.348236,179.45578146976732,17.6367104
64,1e,be,c2,0,f0,1d,46,42.398246,179.5377807627907,17.6367104
24,13,c2,c2,0,f0,1d,46,42.448254,179.58119240930228,17.6367104
79,59,c7,c2,0,f0,1d,46,42.498251,179.63907454883724,17.6367104
10,d8,cc,c2,0,f0,1d,46,42.548253,179.6993681860465,17.6367104
8b,94,d0,c2,0,f0,1d,46,42.598254,179.74036783255815,17.6367104
4a,89,d4,c2,0,f0,1d,46,42.648262,179.78377931162788,17.6367104
26,40,da,c2,0,f0,1d,46,42.698266,179.8464849488372,17.6367104
37,4e,df,c2,0,f0,1d,46,42.74827,179.90195525581396,17.6367104
ce,cc,e4,c2,0,f0,1d,46,42.798271,179.96224889302323,17.6367104
39,7b,e3,c2,0,f0,1d,46,42.848274,179.94777839999995,17.6367104
72,ff,e6,c2,0,f0,1d,46,42.898278,179.98636654883728,17.6367104
2f,c7,e6,c2,0,f0,1d,46,42.948285,179.9839548837209,17.6367104
b8,64,eb,c2,0,f0,1d,46,42.998284,180.03460152558137,17.6367104
91,ee,ec,c2,0,f0,1d,46,43.048286,180.05148385116274,17.6367104
67,4b,ea,c2,0,f0,1d,46,43.098295,180.0225428651163,17.6367104
fc,9c,eb,c2,0,f0,1d,46,43.148294,180.03701335813957,17.6367104
ee,bb,ea,c2,0,f0,1d,46,43.198302,180.02736636279064,17.6367104
75,2c,eb,c2,0,f0,1d,46,43.248301,180.0321898604651,17.6367104
b8,64,eb,c2,0,f0,1d,46,43.298305,180.03460152558137,17.6367104
ee,bb,ea,c2,0,f0,1d,46,43.348309,180.02736636279064,17.6367104
5a,d5,93,c0,0,f0,1d,46,46.498535,173.4553476837209,17.6367104
5a,d5,93,c0,0,f0,1d,46,46.548534,173.4553476837209,17.6367104
3b,e6,a1,c0,0,f0,1d,46,46.598541,173.60969977674415,17.6367104
28,1,12,c1,0,f0,1d,46,46.648544,174.83988256744192,17.6367104
c6,cb,1a,c1,0,f0,1d,46,46.998565,174.93635553488366,17.6367104
ec,ad,dd,c0,0,f0,1d,46,47.048569,174.26569428837206,17.6367104
12,3f,10,c1,0,f0,1d,46,47.098578,174.82058958139532,17.6367104
a0,3a,e8,c0,0,f0,1d,46,47.148577,174.3814602418604,17.6367104
27,43,ef,c0,0,f0,1d,46,47.198583,174.45864005581393,17.6367104
cd,be,eb,c0,0,f0,1d,46,47.248585,174.4200463813953,17.6367104
73,b6,e4,c0,0,f0,1d,46,47.298586,174.3428741023256,17.6367104
b,9d,cf,c0,0,f0,1d,46,47.348592,174.1113421953488,17.6367104
49,7b,b3,c0,0,f0,1d,46,47.398594,173.8026380093022,17.6367104
de,18,cc,c0,0,f0,1d,46,47.448599,174.072756055814,17.6367104
bf,29,da,c0,0,f0,1d,46,47.498602,174.22710814883726,17.6367104
de,18,cc,c0,0,f0,1d,46,47.548607,174.072756055814,17.6367104
a2,36,9,c1,0,f0,1d,46,47.598608,174.74341361860456,17.6367104
fd,7,be,c0,0,f0,1d,46,47.648616,173.91840396279065,17.6367104
92,a5,d6,c0,0,f0,1d,46,47.698616,174.18852200930223,17.6367104
ec,ad,dd,c0,0,f0,1d,46,47.748619,174.26569428837206,17.6367104
ef,72,ac,c0,0,f0,1d,46,47.798624,173.7254657302325,17.6367104
1c,f7,af,c0,0,f0,1d,46,47.848629,173.7640518697674,17.6367104
3b,e6,a1,c0,0,f0,1d,46,47.898633,173.60969977674415,17.6367104
f8,12,29,c0,0,f0,1d,46,47.948637,172.28382764651167,17.6367104
9c,af,ef,bf,0,f0,1d,46,47.998639,171.6540808186047,17.6367104
28,51,7e,bf,0,f0,1d,46,48.048639,170.4100299906977,17.6367104
4c,18,8c,3f,0,f0,1d,46,48.098638,-189.01743605581396,17.6367104
a0,8e,ee,3f,0,f0,1d,46,48.148648,-187.93696386976742,17.6367104
a4,c5,60,40,0,f0,1d,46,48.198646,-186.6836300651163,17.6367104
dd,ae,af,40,0,f0,1d,46,48.248648,-185.81770230697674,17.6367104
f2,1a,10,41,0,f0,1d,46,48.34866,-184.7596162604651,17.6367104
58,6f,56,41,0,f0,1d,46,48.39866,-183.98785562790695,17.6367104
5d,1e,a6,41,0,f0,1d,46,48.448664,-183.1134492837209,17.6367104
5c,4b,e6,41,0,f0,1d,46,48.498668,-182.40921845581394,17.6367104
6a,b7,86,42,0,f0,1d,46,48.998706,-180.64883151627907,17.6367104
bb,d0,9b,42,0,f0,1d,46,49.048711,-180.41730346046512,17.6367104
d2,38,d1,42,0,f0,1d,46,49.248725,-179.8312477395349,17.6367104
58,a9,d1,42,0,f0,1d,46,49.298728,-179.82642440930232,17.6367104
98,e1,d1,42,0,f0,1d,46,49.398734,-179.82401324651164,17.6367104
89,d3,cc,42,0,f0,1d,46,49.448736,-179.87948321860466,17.6367104
b9,a3,bf,42,0,f0,1d,46,49.598751,-180.0241878139535,17.6367104
68,8a,aa,42,0,f0,1d,46,49.648751,-180.25571586976744,17.6367104
41,41,9c,42,0,f0,1d,46,49.748761,-180.41248013023258,17.6367104
